X,Y,codigo,municipio,distrito_m,nucleo_urb,nom_calle,numero,ubicacion,estado,anio_insta,tapa_norm,diametro,registro,tipo,modelo,marca,tipo_red1,tapon,propiedad,profundida,icon_url
-5.93728661886663,37.2922888798478,"24802",DOS HERMANAS,DH_DOS HERMANAS NORTE,DOS HERMANAS,CL\ GONZALO DE BERCEO,ESQ. C/ MIGUEL HERNANDEZ,En acera,En servicio,"1970",Si,"60",Arqueta,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.800000,./0.png
-5.99975749976718,37.3769369558705,"2049",SEVILLA,SE_LOS REMEDIOS,SEVILLA,CL\ ARCOS,ESQ. ARQUEROS,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.03861669608432,37.4184379697295,"14346",CAMAS,CA_ZONA INDUSTRIAL,CAMAS,CL\ ADRIANO,"38",En acera,En servicio,"1972",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.9965934749933,37.4207744909095,"18737",SANTIPONCE,SANTIPONCE,SEVILLA,PQ\ DEL ALAMILLO (RONDA NORTE),S/N,En acera,En servicio,"1992",Si,"60",Caja,EMASESA,,ODRIOZOLA,Agua bruta secundaria,No,EMASESA,0.000000,./0.png
-6.06112899702209,37.2831260454385,"28858",CORIA DEL RIO,CO_LAS PALOMAS-LAS PALMERAS,CORIA DEL RIO,CL\ LAS PALOMAS D (SECTOR 2),S/N,En acera,En servicio,"2011",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.98193884236086,37.3589982332026,"24039",SEVILLA,SE_BELLAVISTA-LA PALMERA,SEVILLA,AV\ DE LA PALMERA,"52",En acera,En servicio,"2003",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.73767099230607,37.3814653925842,"30509",MAIRENA DEL ALCOR,MA_MAIRENA DEL ALCOR,MAIRENA DEL ALCOR,CL\ ECIJA,FTE. Nº 27,En acera,En servicio,"2007",Si,"60",Arqueta,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.82739182216453,37.3457716935487,"27605",ALCALA DE GUADAIRA,AG_ALCALA DE GUADAIRA,ALCALA DE GUADAIRA,CL\ LUXEMBURGO,"10",En acera,En servicio,"2009",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.96731887578223,37.4250223433407,"10812",SEVILLA,SE_NORTE,SEVILLA,CL\ ESTRELLA PROCION,ESQ. ESTRELLA SIRIO,En acera,En servicio,"1987",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.97831332768288,37.3958016690584,"8036",SEVILLA,SE_SAN PABLO-SANTA JUSTA,SEVILLA,CL\ VENECIA,"17",En acera,En servicio,"1988",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.9313819097712,37.3128968396503,"29024",DOS HERMANAS,DH_ENTRENUCLEOS,ENTRENUCLEOS,BU\ RAFAEL ESCUREDO RODRIGUEZ,SVG 1.5,En acera,En servicio,"2010",No,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.200000,./0.png
-5.97868018662032,37.3985712898216,"8139",SEVILLA,SE_SAN PABLO-SANTA JUSTA,SEVILLA,PZ\ PIANISTA JOSE ROMERO,JTO. CENTRO DE SALUD RONDA HISTORICA,En acera,En servicio,"1997",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.93422232427709,37.2793995351859,"21718",DOS HERMANAS,DH_DOS HERMANAS CENTRO OESTE,DOS HERMANAS,AV\ CRISTOBAL COLON,FTE. 44,En acera,En servicio,"2017",Si,"60",Caja,EMASESA,CON ROSCA,IRUA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.93196383631936,37.2785573708028,"21714",DOS HERMANAS,DH_DOS HERMANAS CENTRO OESTE,DOS HERMANAS,CL\ ATLANTIDA,TRA. 4 DE CL\ TARTESSOS,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.00749937095449,37.4035377852153,"19097",SEVILLA,SE_TRIANA,SEVILLA,CL\ LEONARDO DA VINCI,FTE. 5,En acera,En servicio,"1992",Si,"45",Caja,BLINDADA,,,Agua bruta secundaria,No,EMASESA,0.000000,./0.png
-5.92946533362098,37.2831202071727,"27753",DOS HERMANAS,DH_DOS HERMANAS CENTRO OESTE,DOS HERMANAS,CL\ DOCTOR FLEMING,FTE. Nº 25,En acera,En servicio,"2009",Si,"60",Caja,EMASESA,CON ROSCA,SEVILLA,Potable secundaria,No,EMASESA,0.600000,./0.png
-5.93570398202617,37.3291731246525,"20717",DOS HERMANAS,DH_MONTEQUINTO,MONTEQUINTO,CL\ CERRO DEL MONTE,"35",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.92051918605133,37.3326167611238,"20721",DOS HERMANAS,DH_MONTEQUINTO,MONTEQUINTO,CL\ CERRO DE LA TARJETA,S/N,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.98069044343593,37.4899896438314,"17421",LA RINCONADA,RI_LA RINCONADA,LA  RINCONADA,"CL\ PASTORA FERNANDEZ ""PASTORITA""","15",En acera,En servicio,"1994",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99506004738139,37.2900943694732,"20826",DOS HERMANAS,DH_LA ISLA-MEGAPARK,LA ISLA-MEGAPARK,CL\ TORRE DE LOS HERBEROS,S/N,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.93570420662423,37.2721003460349,"22203",DOS HERMANAS,DH_DOS HERMANAS OESTE,DOS HERMANAS,CL\ VIRGEN DE LA ALMUDENA,"19",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.84500580146594,37.3390035971785,"15712",ALCALA DE GUADAIRA,AG_ALCALA DE GUADAIRA,ALCALA DE GUADAIRA,CL\ LA PLATA,"35",En acera,En servicio,"2006",Si,"60",Arqueta,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.05300101156591,37.2953377110691,"23437",CORIA DEL RIO,CO_NORTE-GUADALQUIVIR,CORIA DEL RIO,CL\ CLARA CAMPOAMOR,"2",En acera,En servicio,"2001",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99014159200433,37.5066073722173,"27892",ALCALA DEL RIO,AR_ALCALA DEL RIO,ALCALA DEL RIO,CL\ TOCINA,"ESQ. AVDA. DE LA RINCONADA, 22",En acera,En servicio,"2008",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.350000,./0.png
-5.94986272416385,37.403135099761,"14058",SEVILLA,SE_SAN PABLO-SANTA JUSTA,SEVILLA,CL\ DON JUAN,"15",En acera,En servicio,"1997",Si,"60",Arqueta,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.06136907454601,37.2837617490409,"28834",CORIA DEL RIO,CO_LAS PALOMAS-LAS PALMERAS,CORIA DEL RIO,CL\ LAS PALOMAS C (SECTOR 2),S/N,En acera,En servicio,"2011",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99319141649002,37.4010434091021,"12179",SEVILLA,SE_CASCO ANTIGUO,SEVILLA,CL\ PERAL,"9",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99694790851792,37.3961165461117,"27638",SEVILLA,SE_CASCO ANTIGUO,SEVILLA,CL\ CANTABRIA,ESQ. CL\ CARDENAL SPINOLA,No especificado,En servicio,"2019",Si,"45",Caja,EMASESA,ENCHUFE RAPIDO,IRUA,Agua bruta secundaria,No,EMASESA,0.000000,./0.png
-5.97600856428352,37.3894882631612,"7724",SEVILLA,SE_NERVION,SEVILLA,CL\ PABLO PICASSO,JUNTO SOLAR FRENTE P,En acera,En servicio,"1991",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.91765038508619,37.2839394902674,"21312",DOS HERMANAS,DH_DOS HERMANAS ESTE,DOS HERMANAS,CL\ DOCTOR JULIO SAN JOSE,FTE. IE\ EB PASO INFERIOR PURISIMA CONCEPCION,En acera,En servicio,"1995",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99436669150224,37.4097462439662,"18801",SEVILLA,SE_TRIANA,SEVILLA,AV\ ALVARO ALONSO BARBA,FRENTE HOTEL BARCELO,En acera,En servicio,"1992",Si,"60",Caja,EMASESA,,ODRIOZOLA,Agua bruta secundaria,No,EMASESA,0.000000,./0.png
-5.93918673822587,37.2841130335912,"31114",DOS HERMANAS,DH_DOS HERMANAS NORTE,DOS HERMANAS,AV\ 4 DE DICIEMBRE,CARREFOUR,En acera,En servicio,"2019",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.00237698228943,37.3932137807377,"25315",SEVILLA,SE_CASCO ANTIGUO,SEVILLA,CL\ SAN LAUREANO,ESQ. C/ MARQUES DE PARADAS,En acera,En servicio,"2005",Si,"45",Caja,JARDIN,,,Agua bruta secundaria,No,EMASESA,0.000000,./0.png
-5.94739984057677,37.4867635649535,"17131",LA RINCONADA,RI_SAN JOSE DE LA RINCONADA,SAN JOSE DE LA RINCONADA,CL\ JUAN DE LA CUEVA,"18",En acera,En servicio,"1970",Si,"60",Caja,BLINDADA,,URALITA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.98451088884392,37.3482342955556,"3260",SEVILLA,SE_BELLAVISTA-LA PALMERA,SEVILLA,CL\ EDIMBURGO,"7",En acera,En servicio,"1991",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.98323118437281,37.4304835770008,"30608",SEVILLA,SE_NORTE,SEVILLA,CL\ PEZ MARTILLO,"61",En acera,En servicio,"2017",,"60",Arqueta,EMASESA,CON ROSCA,,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.05153624662171,37.2846725993294,"18438",CORIA DEL RIO,CO_CENTRO,CORIA DEL RIO,CL\ MENDEZ NUÑEZ,"9",En acera,En servicio,"2000",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.75317140642542,37.3726447698915,"30591",MAIRENA DEL ALCOR,MA_MAIRENA DEL ALCOR,MAIRENA DEL ALCOR,CL\ ALCALA,"1",En acera,En servicio,"2007",,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.93587683828003,37.34747247356,"32717",DOS HERMANAS,DH_CONDEQUINTO,CONDEQUINTO,CL\ CARABELA LA NIÑA,ESQ. CL\ NAO SANTA MARIA,En acera,"En servicio, pendiente de liquidación/datos","2023",,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,1.000000,./0.png
-5.74376568487402,37.3820374021588,"24172",MAIRENA DEL ALCOR,MA_MAIRENA DEL ALCOR,MAIRENA DEL ALCOR,CL\ SIMEON,ESQ. CL ISAAC,En acera,En servicio,"2004",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.800000,./0.png
-6.04889665293855,37.2910894958732,"25115",CORIA DEL RIO,CO_CENTRO,CORIA DEL RIO,CL\ GUADALAVIAR,"30",En acera,En servicio,"2005",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.500000,./0.png
-5.77423340695253,37.3749855442185,"28132",MAIRENA DEL ALCOR,MA_MAIRENA DEL ALCOR,MAIRENA DEL ALCOR,CL\ FRANCISCO BAUTISTA,"18",En acera,En servicio,"2010",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.97070530560902,37.4011001210158,"8394",SEVILLA,SE_SAN PABLO-SANTA JUSTA,SEVILLA,PZ\ MANUEL RUIZ OJEDA,ENTRE LOS Nº12accB Y Nº14accA C/ ANTONIO GALA,En acera,En servicio,"1974",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.05400740102824,37.2927160674632,"31160",CORIA DEL RIO,CO_NORTE-GUADALQUIVIR,CORIA DEL RIO,BA\ LA PAZ,"34",En acera,En servicio,"2019",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,1.000000,./0.png
-5.91991724824272,37.2847167182642,"25177",DOS HERMANAS,DH_DOS HERMANAS CENTRO ESTE,DOS HERMANAS,CL\ MANUEL CALVO LEAL,ESQ. CL\ JUEZ JOSE JURADO SALDAÑA,En acera,En servicio,"2005",Si,"60",Arqueta,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.800000,./0.png
-5.98414195253042,37.3681557494099,"4713",SEVILLA,SE_SUR,SEVILLA,CL\ CARDENAL BUENO MONREAL,"37",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.97608891018434,37.3627754543765,"4703",SEVILLA,SE_SUR,SEVILLA,CL\ LUIS ROSALES,JTO. APEADERO VIRGEN DEL ROCIO,En acera,En servicio,"1992",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.97163076491615,37.3801270061101,"5190",SEVILLA,SE_NERVION,SEVILLA,CL\ DIVINO REDENTOR,"13",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.95115558300406,37.3853075376736,"6362",SEVILLA,SE_CERRO-AMATE,SEVILLA,AV\ PARQUE AMATE,39 accA,En acera,En servicio,"1975",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.05966306421759,37.2812537220803,"32454",CORIA DEL RIO,CO_LAS PALOMAS-LAS PALMERAS,CORIA DEL RIO,CL\ LAS PALOMAS 06 (SECTOR 2),S/N,En acera,En servicio,"2021",,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.96105465862559,37.3812588251831,"6494",SEVILLA,SE_NERVION,SEVILLA,CL\ MARQUES DE PICKMAN,"59",En acera,En servicio,"1992",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.99420009599241,37.4050771554884,"16698",SEVILLA,SE_MACARENA,SEVILLA,CL\ CONCEJAL ALBERTO JIMENEZ BECERRIL,2 accI,En acera,En servicio,"1998",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.96069187045361,37.398305153084,"16736",SEVILLA,SE_SAN PABLO-SANTA JUSTA,SEVILLA,CL\ CHICUELO II,9-11,En acera,En servicio,"1999",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.05620983496717,37.2829675700454,"25585",CORIA DEL RIO,CO_CENTRO,CORIA DEL RIO,CL\ PINZON,"12",En acera,En servicio,"2005",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.200000,./0.png
-5.8378631147238,37.3460848085291,"15117",ALCALA DE GUADAIRA,AG_ALCALA DE GUADAIRA,ALCALA DE GUADAIRA,CL\ SOCORRO DEL SALVADOR,"8",En acera,En servicio,"1970",Si,"40",Caja,BLINDADA,,URALITA,Potable secundaria,No,EMASESA,0.000000,./0.png
